t,seen,trust,why,tgt_pinky,tgt_ring,tgt_middle,tgt_index,tgt_thumb_bend,tgt_thumb_rot,curl_pinky,curl_ring,curl_middle,curl_index,thumb_flexion,opposition,ang_pinky,ang_ring,ang_middle,ang_index,ang_thumb_bend,ang_thumb_rot,cur_pinky,cur_ring,cur_middle,cur_index,cur_thumb_bend,cur_thumb_rot,sta_pinky,sta_ring,sta_middle,sta_index,sta_thumb_bend,sta_thumb_rot,gain_pinky,gain_ring,gain_middle,gain_index,gain_thumb_bend,gain_thumb_rot,sent_pinky,sent_ring,sent_middle,sent_index,sent_thumb_bend,sent_thumb_rot,sent,mode,applying,deg
1786353674.883105,1,1,,1811.0000,1850.0000,1750.0000,1850.0000,1364.0000,890.0000,45.615,35.252,55.775,26.031,34.276,96.382,1804,1786,1768,1782,1340,1566,0,0,0,0,0,79,1,0,1,1,1,1,6.0177,6.0177,6.0177,6.0177,6.4208,12.3552,1814.0000,1850.0000,1764.1762,1850.0000,1337.5389,944.9470,0,on,1,1.5000
1786353674.915086,1,1,,1803.0000,1850.0000,1773.0000,1850.0000,1359.0000,890.0000,47.005,32.416,51.952,23.744,35.026,95.355,1804,1786,1766,1782,1339,1544,0,0,0,0,0,85,1,0,1,1,1,1,6.0177,6.0177,6.0177,6.0177,6.4208,12.3552,1814.0000,1850.0000,1764.1762,1850.0000,1337.5389,922.3615,1,on,1,1.5000
1786353674.951072,1,1,,1790.0000,1850.0000,1767.0000,1850.0000,1363.0000,890.0000,49.157,35.286,53.089,26.346,34.326,94.783,1804,1786,1766,1782,1339,1517,0,0,0,0,0,67,1,0,1,1,1,1,6.0177,6.0177,6.0177,6.0177,6.4208,12.3552,1814.0000,1850.0000,1764.1762,1850.0000,1337.5389,922.3615,0,on,1,1.5000
1786353674.983072,1,1,,1790.0000,1850.0000,1778.0000,1850.0000,1371.0000,890.0000,49.248,36.248,51.144,24.893,33.195,95.921,1804,1786,1766,1782,1339,1492,0,0,0,0,0,76,1,0,1,1,1,1,6.0177,6.0177,6.0177,6.0177,6.4208,12.3552,1814.0000,1850.0000,1764.1762,1850.0000,1337.5389,922.3615,0,on,1,1.5000
1786353675.014922,1,1,,1768.0000,1850.0000,1779.0000,1850.0000,1361.0000,890.0000,52.825,36.862,51.091,27.209,34.675,93.632,1804,1786,1766,1782,1339,1466,0,0,0,0,0,79,1,0,1,1,1,1,6.0177,6.0177,6.0177,6.0177,6.4208,12.3552,1814.0000,1850.0000,1764.1762,1850.0000,1337.5389,922.3615,0,on,1,1.5000
1786353675.051069,1,1,,1774.0000,1850.0000,1790.0000,1850.0000,1356.0000,976.0000,51.916,37.520,49.251,27.159,35.506,86.600,1804,1786,1766,1782,1339,1441,0,0,0,0,0,85,1,0,1,1,1,1,6.0177,6.0177,6.0177,6.0177,6.4208,12.3552,1803.7648,1850.0000,1764.1762,1850.0000,1337.5389,922.3615,1,on,1,1.5000
1786353675.083113,1,1,,1770.0000,1850.0000,1790.0000,1850.0000,1356.0000,1005.0000,52.519,37.786,49.269,28.475,35.520,84.280,1804,1786,1766,1782,1339,1426,0,0,0,0,0,84,1,0,1,1,1,1,6.0177,6.0177,6.0177,6.0177,6.4208,12.3552,1803.7648,1850.0000,1764.1762,1850.0000,1347.2859,922.3615,1,on,1,1.5000
1786353675.115085,1,1,,1774.0000,1850.0000,1801.0000,1850.0000,1349.0000,1032.0000,51.783,37.810,47.402,28.775,36.643,82.075,1804,1786,1766,1782,1339,1398,0,0,0,0,8,87,1,0,1,1,0,1,6.0177,6.0177,6.0177,6.0177,6.4208,12.3552,1803.7648,1850.0000,1764.1762,1850.0000,1347.2859,948.0148,1,on,1,1.5000
1786353675.151081,1,1,,1755.0000,1850.0000,1790.0000,1850.0000,1353.0000,1080.0000,54.998,38.681,49.246,29.145,35.976,78.142,1804,1786,1766,1782,1339,1371,0,0,0,0,0,79,1,0,1,1,0,1,6.0177,6.0177,6.0177,6.0177,6.4208,12.3552,1793.0946,1850.0000,1764.1762,1850.0000,1347.2859,981.5738,1,on,1,1.5000
1786353675.183091,1,1,,1781.0000,1833.0000,1801.0000,1850.0000,1340.0000,1090.0000,50.705,42.001,47.377,28.046,37.934,77.353,1804,1786,1766,1782,1339,1345,0,0,0,0,13,76,1,0,1,1,0,1,6.0177,6.0177,6.0177,6.0177,6.4208,12.3552,1793.0946,1850.0000,1773.5149,1850.0000,1347.2859,1008.1299,1,on,1,1.5000
