0.0,2.0,1.0,-7.0,1.0,0.0,-5.0,-10.0
125.0,122.0,120.0,102.0,116.0,124.0,127.0,127.0
-11.0,0.0,5.0,17.0,-1.0,-13.0,-4.0,-8.0
3.0,-3.0,-2.0,9.0,0.0,0.0,-2.0,-6.0
5.0,-2.0,-2.0,-32.0,-9.0,-2.0,-7.0,-1.0
127.0,127.0,127.0,125.0,120.0,122.0,127.0,127.0
-13.0,6.0,7.0,10.0,11.0,7.0,3.0,-7.0
8.0,1.0,6.0,21.0,-4.0,16.0,0.0,3.0
-10.0,-2.0,0.0,18.0,-1.0,2.0,0.0,-13.0
113.0,119.0,121.0,122.0,54.0,57.0,105.0,111.0
-9.0,-7.0,-1.0,-7.0,2.0,7.0,-2.0,-6.0
-1.0,6.0,5.0,17.0,-2.0,20.0,-2.0,5.0
13.0,0.0,-3.0,-3.0,-5.0,-10.0,2.0,8.0
127.0,123.0,123.0,124.0,127.0,104.0,127.0,127.0
30.0,-3.0,-13.0,-32.0,-3.0,-5.0,-3.0,17.0
0.0,1.0,3.0,6.0,-1.0,-12.0,16.0,3.0
-3.0,-1.0,-5.0,-2.0,-1.0,7.0,-5.0,4.0
127.0,125.0,117.0,89.0,122.0,127.0,124.0,127.0
-5.0,-4.0,-1.0,13.0,-6.0,-5.0,4.0,1.0
0.0,2.0,5.0,-18.0,-3.0,-15.0,-2.0,-5.0
-4.0,0.0,-5.0,-12.0,-5.0,1.0,-2.0,1.0
118.0,127.0,127.0,127.0,127.0,126.0,127.0,127.0
-17.0,-6.0,-11.0,-40.0,-3.0,-8.0,-8.0,-16.0
36.0,-3.0,-12.0,4.0,2.0,2.0,1.0,23.0
-7.0,1.0,5.0,19.0,11.0,-8.0,-1.0,-2.0
119.0,119.0,126.0,119.0,121.0,127.0,126.0,117.0
4.0,2.0,5.0,16.0,2.0,13.0,3.0,19.0
-14.0,2.0,-3.0,-24.0,-3.0,-25.0,-4.0,-7.0
12.0,-2.0,5.0,31.0,0.0,-10.0,-1.0,9.0
126.0,126.0,120.0,118.0,127.0,119.0,125.0,126.0
-9.0,5.0,1.0,9.0,-5.0,-12.0,-5.0,-11.0
-13.0,-5.0,-4.0,3.0,-1.0,-5.0,0.0,-11.0
4.0,-2.0,4.0,-8.0,1.0,9.0,-2.0,12.0
127.0,122.0,120.0,105.0,122.0,120.0,125.0,127.0
-12.0,0.0,2.0,0.0,-1.0,-1.0,-3.0,-19.0
13.0,4.0,2.0,10.0,0.0,10.0,13.0,19.0
21.0,3.0,-3.0,-10.0,-4.0,0.0,-2.0,12.0
127.0,122.0,116.0,97.0,115.0,124.0,127.0,127.0
4.0,-1.0,-2.0,-11.0,-8.0,-6.0,-3.0,8.0
-15.0,-8.0,-7.0,-12.0,-2.0,-10.0,-18.0,-17.0
-12.0,-2.0,6.0,4.0,11.0,6.0,-4.0,-13.0
116.0,124.0,126.0,122.0,127.0,119.0,127.0,118.0
-2.0,-4.0,-4.0,2.0,9.0,18.0,0.0,6.0
-12.0,-9.0,-9.0,-17.0,-17.0,-42.0,-19.0,-11.0
2.0,4.0,-3.0,-13.0,-13.0,-9.0,1.0,-2.0
127.0,125.0,127.0,127.0,113.0,113.0,120.0,117.0
1.0,-3.0,1.0,-1.0,6.0,-4.0,4.0,13.0
-7.0,4.0,3.0,-4.0,-3.0,8.0,-5.0,-37.0
13.0,-2.0,-10.0,-16.0,-11.0,2.0,-2.0,20.0
120.0,127.0,127.0,111.0,127.0,113.0,127.0,124.0
0.0,2.0,4.0,6.0,-24.0,1.0,3.0,-13.0
30.0,0.0,1.0,18.0,16.0,1.0,3.0,29.0
-23.0,-4.0,5.0,18.0,2.0,2.0,-1.0,-15.0
127.0,127.0,127.0,127.0,127.0,127.0,125.0,124.0
14.0,5.0,7.0,18.0,6.0,1.0,-6.0,4.0
-34.0,0.0,2.0,0.0,0.0,-2.0,-4.0,-32.0
14.0,-2.0,-4.0,13.0,-11.0,4.0,-3.0,3.0
127.0,127.0,127.0,127.0,106.0,117.0,127.0,127.0
-3.0,-2.0,-2.0,-13.0,-1.0,0.0,6.0,-4.0
-7.0,-5.0,-5.0,-8.0,3.0,-6.0,-1.0,-5.0
-1.0,3.0,5.0,11.0,11.0,2.0,1.0,-4.0
127.0,127.0,127.0,127.0,127.0,127.0,126.0,127.0
-15.0,-7.0,-15.0,-11.0,14.0,-7.0,-12.0,-23.0
15.0,4.0,11.0,21.0,9.0,16.0,6.0,18.0
-10.0,-1.0,-3.0,-12.0,2.0,-7.0,0.0,-8.0
122.0,123.0,127.0,101.0,127.0,127.0,127.0,118.0
2.0,2.0,-4.0,-5.0,0.0,2.0,3.0,-5.0
-11.0,-12.0,-21.0,-39.0,-13.0,-2.0,-6.0,1.0
-25.0,0.0,13.0,58.0,18.0,9.0,-2.0,-23.0
